date,title,content,url
20181231,"[날씨] 새해 첫날 맑고 쌀쌀…""해돋이 보려면 따뜻하게 입으세요""","<selenium.webdriver.remote.webelement.WebElement (session=""a5e4142399934a02f549fab1c160775d"", element=""0.15802417861819396-1"")>",http://yna.kr/AKR20181231257700004?did=1195m
20181231,"독거노인종합지원센터, '희망열기 캠페인' 진행","<selenium.webdriver.remote.webelement.WebElement (session=""a5e4142399934a02f549fab1c160775d"", element=""0.8758603280925494-1"")>",http://yna.kr/AKR20181228058800848?did=1195m
20181231,제주 구름 많고 흐려 해넘이·해돋이 보기 어려울 듯,"<selenium.webdriver.remote.webelement.WebElement (session=""a5e4142399934a02f549fab1c160775d"", element=""0.6264166632109933-1"")>",http://yna.kr/AKR20181231178300056?did=1195m
20181231,"[마이더스] 알프스의 보석, 융프라우","<selenium.webdriver.remote.webelement.WebElement (session=""a5e4142399934a02f549fab1c160775d"", element=""0.8053250588129455-1"")>",http://yna.kr/AKR20181228130600980?did=1195m
20181231,"[마이더스] 겨울철 체력 강화, 주말 골퍼도 예외 아니다","<selenium.webdriver.remote.webelement.WebElement (session=""a5e4142399934a02f549fab1c160775d"", element=""0.4104577602766586-1"")>",http://yna.kr/AKR20181228131100980?did=1195m
20181231,"""편히 쉬기를""…故 전태관 슬픔의 발인식","<selenium.webdriver.remote.webelement.WebElement (session=""a5e4142399934a02f549fab1c160775d"", element=""0.47005884380061347-1"")>",http://yna.kr/AKR20181231161100005?did=1195m
20181231,세밑 한파 기승…전북 수도계량기 동파 신고 74건,"<selenium.webdriver.remote.webelement.WebElement (session=""a5e4142399934a02f549fab1c160775d"", element=""0.18385174716462593-1"")>",http://yna.kr/AKR20181231153900055?did=1195m
20181231,[내일날씨] 새해 첫날도 강추위…서울 한낮에도 영하권,"<selenium.webdriver.remote.webelement.WebElement (session=""a5e4142399934a02f549fab1c160775d"", element=""0.9435329597605755-1"")>",http://yna.kr/AKR20181231125300004?did=1195m
20181231,[북한날씨] 대체로 맑음…함북 해안지역은 산발적 눈,"<selenium.webdriver.remote.webelement.WebElement (session=""a5e4142399934a02f549fab1c160775d"", element=""0.4934882710298911-1"")>",http://yna.kr/AKR20181231129700504?did=1195m
20181231,대구·경북 맑은 날씨…낮부터 평년기온 회복,"<selenium.webdriver.remote.webelement.WebElement (session=""a5e4142399934a02f549fab1c160775d"", element=""0.23621109819510533-1"")>",http://yna.kr/AKR20181231127800053?did=1195m
20181231,충남 계룡 -16.8도…세밑 한파 마지막 날까지 기승,"<selenium.webdriver.remote.webelement.WebElement (session=""a5e4142399934a02f549fab1c160775d"", element=""0.6499981140010431-1"")>",http://yna.kr/AKR20181231127500063?did=1195m
20181231,전북 내륙 한파특보…낮에는 영상권 회복,"<selenium.webdriver.remote.webelement.WebElement (session=""a5e4142399934a02f549fab1c160775d"", element=""0.8500834993356918-1"")>",http://yna.kr/AKR20181231126800055?did=1195m
20181231,울산 영하 2.1도…당분간 추운 날씨 이어져,"<selenium.webdriver.remote.webelement.WebElement (session=""a5e4142399934a02f549fab1c160775d"", element=""0.9092131382823607-1"")>",http://yna.kr/AKR20181231125900057?did=1195m
20181230,[날씨] 올해 마지막 날까지 맹추위…건조특보 화재 주의,"<selenium.webdriver.remote.webelement.WebElement (session=""a5e4142399934a02f549fab1c160775d"", element=""0.5943012745960721-1"")>",http://yna.kr/AKR20181230040000004?did=1195m
20181230,"한낮에도 영하권, 한강에는 얼음…도심·고속도로 '한산'","<selenium.webdriver.remote.webelement.WebElement (session=""a5e4142399934a02f549fab1c160775d"", element=""0.45014584475936625-1"")>",http://yna.kr/AKR20181230035800004?did=1195m
20181230,건조 특보 일주일째 부산서 화재 잇따라(종합2보),"<selenium.webdriver.remote.webelement.WebElement (session=""a5e4142399934a02f549fab1c160775d"", element=""0.5868685805248226-1"")>",http://yna.kr/AKR20181230022951051?did=1195m
20181230,별마당도서관에서 보내는 2018년 마지막 주말,[예외 발생] 표 없음,http://yna.kr/PYH20181230048000013?did=1196m
20181230,추위 피해 도서관으로,[예외 발생] 표 없음,http://yna.kr/PYH20181230048100013?did=1196m
20181230,강추위 피해 독서 삼매경,[예외 발생] 표 없음,http://yna.kr/PYH20181230048200013?did=1196m
20181230,"'날씨도 춥고, 온도탑도 춥고'",[예외 발생] 표 없음,http://yna.kr/PYH20181230048400013?did=1196m
